"sample"	"Number_all_years"	"Number_year"	"Where"	"Label"	"Date"	"A254"	"A300"	"A350"	"A365"	"A400"	"A465"	"A600"	"A665"	"Comp.1"	"Comp.2"	"Comp.3"	"X."	"Em"	"Comp.1.1"	"Comp.2.1"	"Comp.3.1"	"X..1"	"Ex"	"Comp.1.2"	"Comp.2.2"	"Comp.3.2"	"X..2"	"C1_rel"	"C2_rel"	"C3_rel"
"14"	"v20211316"	20211316	1316	"Otava"	"O7_Ostru?n "	"25-mai-21"	0.1558	0.0852	0.0312	0.0226	0.0108	2e-04	0	0	0.889419969405856	1.01702564018348	0.329084183897106	NA	317	0.0105505959732865	0	0.987231286973997	NA	335	0.227765160187044	0.29720453707073	0.0315055200898911	NA	0.397856459796383	0.454937189004029	0.147206351199587
"15"	"v20211317"	20211317	1317	"Otava"	"O8_Vol?ovka"	"25-mai-21"	0.096888	0.052288	0.017488	0.013888	0.004888	0	0	0	0.464175046966767	0.532467462081601	0.214915041426011	NA	318	0.0388464720901729	0	0.917163914915386	NA	340	0.228838021894239	0.275116778279987	0.00444416334109517	NA	0.383122573735785	0.439490028247619	0.177387398016596
"16"	"v20211318"	20211318	1318	"Otava"	"O9_Otava_nad_Vol?ovkou"	"25-mai-21"	0.242412	0.142332	0.068172	0.052212	0.026892	0.006492	0	0	0.838357854031307	0.557130282678219	0.190438464030639	NA	319	0.04585595041742	0	0.932162704284208	NA	345	0.231799521570603	0.250127379635848	0	NA	0.528623363552915	0.351296385607128	0.120080250839957
"17"	"v20211319"	20211319	1319	"Otava"	"O10_Losenice"	"25-mai-21"	0.1290216	0.0699816	0.0295416	0.0221016	0.0102216	0	0	0	0.541984496880766	0.447314101115412	0.167643147579877	NA	320	0.0405730429484462	0	0.932369766705784	NA	350	0.236725891114208	0.225532503442724	3.96723195662026e-18	NA	0.468463082910804	0.386634938903245	0.14490197818595
"18"	"v2021132"	20210132	132	"Karhov"	"KAR1_odtok"	"19-jan-21"	0.565344	0.318144	0.146664	0.111504	0.060624	0.023184	0.005424	0.001104	3.14597067632846	3.24790611761941	0.716286585424299	NA	300	0	0	0.857776787409387	NA	250	0.956624631523292	1	0.568048692089942	NA	0.442461095261956	0.456797677398266	0.100741227339778
"19"	"v20211320"	20211320	1320	"Otava"	"O11_Hamersk?_potok"	"25-mai-21"	0.3147744	0.1893744	0.0924144	0.0720144	0.0372144	0.0102144	0	0	1.01316936113035	0.583855910020312	0.219899471113036	NA	321	0	0.0195935562393622	1	NA	355	0.244201695619487	0.198610693425228	0	NA	0.557628688499254	0.32134292435959	0.121028387141156
"20"	"v20211321"	20211321	1321	"Otava"	"O12_Vydra"	"25-mai-21"	0.493624	0.293024	0.145824	0.115024	0.057224	0.018024	0	0	1.4518088217609	0.789707641870633	0.219978062714576	NA	322	0.0398193913430423	0.00675518980992964	0.945897698244807	NA	360	0.252984705737777	0.170089557031855	0	NA	0.589807861127359	0.320824455800392	0.0893676830722495
"21"	"v20211322"	20211322	1322	"Otava"	"O13_Voly?ka"	"25-mai-21"	0.165768	0.087648	0.037008	0.026688	0.012048	0.000768	0	0	0.853757973208405	0.758357960500718	0.258959610554081	NA	323	0.049707198833748	0.00830755411481058	0.937508679377941	NA	365	0.256437721536374	0.14041828332392	0	NA	0.45629262582479	0.405305901638165	0.138401472537045
"22"	"v20211323"	20211323	1323	"Otava"	"O14_Blanice"	"25-mai-21"	0.246448	0.138048	0.057448	0.045048	0.020448	0.001248	0	0	1.15243050217181	1.03288592109008	0.28417070022154	NA	324	0	0.0362450623543513	0.992347613315816	NA	370	0.250050638049609	0.10958356170027	0	NA	0.466667953524781	0.418259286014459	0.11507276046076
"23"	"v2021133"	20210133	133	"Karhov"	"KAR4_bo?n¡_p?¡tok"	"19-jan-21"	0.4638888	0.2651688	0.1265688	0.0932088	0.0519288	0.0210888	0.0054888	0	2.85125563034888	2.48670987630744	0.908484962679062	NA	301	0	0	0.884435507293334	NA	255	0.966374506303342	0.920774786809365	0.571096204073781	NA	0.45646013593577	0.398099670927515	0.145440193136715
"24"	"v2021134"	20210134	134	"Karhov"	"KAR29_Studensk?_potok"	"19-jan-21"	0.4593168	0.2537568	0.1163568	0.0864768	0.0469968	0.0173568	0.0042768	0	2.77891186350252	2.74666079982499	0.557588051035736	NA	302	0	0	0.895070017113479	NA	260	0.983344007037543	0.842169197264326	0.62687413133361	NA	0.4568203922249	0.451518697071362	0.0916609107037379
"25"	"v20211948"	20211948	1948	"Karhov"	"KAR1_odtok"	"23-aug-21"	0.4177152	0.2163552	0.0989952	0.0755952	0.0373152	0.0134352	0.0015552	0.0023952	1.75026281490288	2.14416030889893	0.713636695284292	NA	325	0.0322897671166424	0.0123607744344103	0.961150708782974	NA	375	0.235183316575904	0.0802590190279475	0	NA	0.379826409295616	0.465306526624946	0.154867064079438
"26"	"v20211949"	20211949	1949	"Karhov"	"KAR4_bo?n¡_p?¡tok"	"23-aug-21"	0.965868	0.571548	0.281028	0.213828	0.108708	0.037188	0.005508	0.002148	4.57436154226807	3.9995108279374	0.816529230501117	NA	326	0	0.0528519961726481	0.975933226122393	NA	380	0.216463052796982	0.0544672184926507	0	NA	0.487131619793968	0.425914779580508	0.0869536006255235
"27"	"v20211950"	20211950	1950	"Karhov"	"KAR29_Studensk?_potok"	"23-aug-21"	0.7173984	0.4041984	0.1940784	0.1497984	0.0757584	0.0279984	0.0037584	0.0012384	2.95818942244978	2.92568061823902	0.810567226654928	NA	327	0.0139558399596038	0.0569692798835349	0.938199354104527	NA	385	0.197153606156163	0.0341338805846346	0	NA	0.441887690378426	0.437031598236172	0.121080711385402
"28"	"v20211951"	20211951	1951	"Karhov"	"?V_Studen _surov "	"23-aug-21"	0.42678	0.22422	0.10326	0.07782	0.0375	0.01398	0.0015	0	1.73743952358808	2.10086012801068	0.74978344148105	NA	328	0.0168183296512391	0.035312605090323	0.975924255822771	NA	390	0.180048704507662	0.0189973588593194	0	NA	0.378685278435487	0.457894960790793	0.16341976077372
"29"	"v20211952"	20211952	1952	"Karhov"	"?V_Studen _1.stupe?"	"23-aug-21"	0.096768	0.042108	0.014848	0.010208	0.004208	0.001228	0	0	0.468254178954769	0.829495765559148	0.393958673998894	NA	329	0	0.0691642595083171	0.96370659568156	NA	395	0.162484975442768	0.0072270335009301	0	NA	0.276793635635913	0.490330164711439	0.232876199652648
"30"	"v20211953"	20211953	1953	"Karhov"	"?V_Studen _2._stupe?"	"23-aug-21"	0.0960788	0.0450388	0.0203388	0.0158188	0.0076188	0.0020788	7.88e-05	0	0.408254585794309	0.734467319181746	0.374125810904463	NA	330	0	0.077130588513321	0.936556261939697	NA	400	0.146593800851461	1.11799542889603e-19	0	NA	0.269146718896116	0.484206365274706	0.246646915829178
"31"	"v20211954"	20211954	1954	"Karhov"	"?V_Studen _upraven "	"23-aug-21"	0.0832464	0.0375664	0.0132664	0.0091664	0.0036864	0.0006064	0	0	0.456845122415692	0.797392303960502	0.332214986725881	NA	331	0	0.0841706433676521	0.950016955894575	NA	405	0.129109657541045	2.20886856346364e-19	0	NA	0.287966483357921	0.502626046249517	0.209407470392562
"32"	"v20211962"	20211962	1962	"Otava"	"O1_Otava_P¡sek"	"24-aug-21"	0.2430648	0.1373448	0.0623448	0.0505848	0.0277848	0.0113448	0.0034248	0.0018648	1.16770032891586	1.42011878230151	0.551138686131523	NA	332	0	0.0872144977163953	0.923148539669385	NA	410	0.113119716346225	2.73526922455967e-19	0	NA	0.372002557633008	0.452417290701046	0.175580151665946
"33"	"v20211963"	20211963	1963	"Otava"	"O2_Blanice"	"24-aug-21"	0.3424224	0.1879824	0.0871824	0.0673824	0.0366624	0.0144624	0.0055824	0.0031824	1.79052024632348	2.23196319123862	0.890441113113289	NA	333	0	0.10444532638042	0.954406701813107	NA	415	0.0993798834021439	2.97684638826874e-19	0	NA	0.364450996113371	0.454304390026056	0.181244613860573
"34"	"v20211964"	20211964	1964	"Otava"	"O3_Voly?ka"	"24-aug-21"	0.2512392	0.1397592	0.0645192	0.0515592	0.0258792	0.0106392	0.0027192	0.0021192	1.3669007673736	1.57683230665181	0.558218544150617	NA	334	0	0.0951117395930808	0.944033719844213	NA	420	0.0877891635712247	2.67329271729992e-18	0	NA	0.39032542890628	0.450272441934276	0.159402129159443
"35"	"v20211965"	20211965	1965	"Otava"	"O4_Peklov"	"24-aug-21"	0.292344	0.162544	0.071544	0.056544	0.027744	0.013944	0.004544	0.003744	1.85381076684306	2.22784989494742	0.618754595155005	NA	335	0	0.115683650381261	0.913657076431943	NA	425	0.0777529804078856	0	0	NA	0.394392977110652	0.47396873960348	0.131638283285868
"36"	"v20211966"	20211966	1966	"Otava"	"O5_?ern¡?sk?_potok"	"24-aug-21"	0.334692	0.176292	0.079292	0.064692	0.034092	0.015692	0.006892	0.005092	1.96918615985986	2.62943489788615	1.0614606841926	NA	336	0	0.117067573851686	0.908584568091503	NA	430	0.068524935184666	2.83008803688756e-19	0	NA	0.347907724595052	0.464557760430074	0.187534514974874
"37"	"v20211967"	20211967	1967	"Otava"	"O6_Nezdick?_potok"	"24-aug-21"	0.2112816	0.1193616	0.0551616	0.0431616	0.0236016	0.0090816	0.0038016	0.0016416	1.17329149278586	1.26870902945895	0.432244795675705	NA	337	0	0.137121968565201	0.947439225316218	NA	435	0.0601993008765257	2.58396378175778e-19	0	NA	0.408208542767923	0.441405965436815	0.150385491795262
"38"	"v20211968"	20211968	1968	"Otava"	"O7_Ostru?n "	"24-aug-21"	0.2139744	0.1227744	0.0577344	0.0430944	0.0234144	0.0096144	0.0042144	0.0021744	1.13616372236547	1.23518838206523	0.487109896023104	NA	338	0	0.129325032667234	0.925628637972229	NA	440	0.0521944214519241	0	0	NA	0.397473789116348	0.432116425500543	0.170409785383109
"39"	"v20211969"	20211969	1969	"Otava"	"O8_Vol?ovka"	"24-aug-21"	0.1240896	0.0716496	0.0340896	0.0273696	0.0159696	0.0073296	0.0039696	0.0012096	0.557995595490616	0.574197430724418	0.251429000611087	NA	339	0	0.141737973061755	0.928545831532789	NA	445	0.0452246372108179	2.56878584772402e-18	0	NA	0.403286146557378	0.414995872855222	0.181717980587399
"40"	"v20211970"	20211970	1970	"Otava"	"O9_Otava_nad_Vol?ovkou"	"24-aug-21"	0.6097968	0.3736368	0.1848768	0.1459968	0.0795168	0.0321168	0.0070368	0.0030768	1.6830910877329	0.978427621627138	0.311468864792689	NA	340	0	0.145329305869315	0.911466672895704	NA	450	0.038707941610634	1.6915235669026e-19	0	NA	0.566127858173967	0.329105856389588	0.104766285436445
"41"	"v20211971"	20211971	1971	"Otava"	"O10_Losenice"	"24-aug-21"	0.3630408	0.2183208	0.1050408	0.0845208	0.0451608	0.0190008	0.0059208	0.0031608	1.2701543665354	0.908352132605811	0.313762452826999	NA	341	0	0.149759798324278	0.91370177229458	NA	455	0.0336114165183327	1.45298800547284e-19	0	NA	0.509637760215376	0.364467940704578	0.125894299080046
"42"	"v20211972"	20211972	1972	"Otava"	"O11_Hamersk?_potok"	"24-aug-21"	0.9326808	0.5852808	0.2983608	0.2345208	0.1297608	0.0522408	0.0131208	0.0068808	2.23058861035181	1.22507214717965	0.393188080167926	NA	342	0	0.176452706187277	0.895372270760681	NA	460	0.0290417751706357	1.23681253514049e-19	0	NA	0.57954695141655	0.318295729148959	0.102157319434491
"43"	"v20211973"	20211973	1973	"Otava"	"O12_Vydra"	"24-aug-21"	1.326564	0.807364	0.403964	0.312964	0.168964	0.066964	0.014364	0.008964	3.05708964588593	1.61313054769193	0.486374935601314	NA	343	6.82956317771118e-18	0.188425408905244	0.893211150445457	NA	465	0.024568106697601	1.02168392836681e-19	0	NA	0.592850431205476	0.312828621848524	0.0943209469460006
"44"	"v20211974"	20211974	1974	"Otava"	"O13_Voly?ka"	"24-aug-21"	0.2757336	0.1572936	0.0753336	0.0590136	0.0310536	0.0114936	0.0036936	0.0027336	1.21143102460694	1.00671303359568	0.287750058884648	NA	344	6.82956317771118e-18	0.182877525084192	0.899054813476712	NA	470	0.0210141982215034	8.52003195580197e-20	0	NA	0.483432646394114	0.401738056979772	0.114829296626114
"45"	"v20211975"	20211975	1975	"Otava"	"O14_Blanice"	"24-aug-21"	0.3076584	0.1799784	0.0881784	0.0696984	0.0388584	0.0158184	0.0064584	0.0054984	1.38174693375707	1.23701568023132	0.436353938889287	NA	345	0	0.190347654407688	0.902209272523372	NA	475	0.0182334997777317	7.21228486786907e-20	0	NA	0.452273067112799	0.404899668742965	0.142827264144236
"46"	"v20212835"	20212835	2835	"Otava"	"O1_Otava_P¡sek"	"13-okt-21"	0.24516	0.13296	0.05844	0.04428	0.0234	0.00876	0.00096	0.00036	0.78351777046327	0.992861461872988	0.537193545446553	NA	346	0	0.194770430719129	0.901846717144845	NA	480	0.0154845852019653	5.97846202393915e-20	0	NA	0.338661388994275	0.42914641432827	0.232192196677455
