"sample"	"Comp.1"	"Comp.2"	"Comp.3"	"Number_all_years"	"Number_year"	"Where"	"Label"	"Date"	"A254"	"A300"	"A350"	"A365"	"A400"	"A465"	"A600"	"A665"	"C1_rel"	"C2_rel"	"C3_rel"
"131"	"v2023590"	0.956298307	1.396238841	0.705713962	NA	590	"Otava"	"O5 - ?ern¡?sk? potok "	"20.03.2023"	NA	NA	NA	NA	NA	NA	NA	NA	0.312694501727819	0.456548135120271	0.230757363151909
"132"	"v2023591"	0.790144052	0.973906033	0.366229174	NA	591	"Otava"	"O6 - Nezdick? potok "	"20.03.2023"	NA	NA	NA	NA	NA	NA	NA	NA	0.370911019605435	0.457172940536056	0.171916039858509
"133"	"v2023592"	0.60725971	0.755268902	0.274916278	NA	592	"Otava"	"O7 - Ostru?n  "	"20.03.2023"	NA	NA	NA	NA	NA	NA	NA	NA	0.370858105642871	0.46124844055057	0.167893453806558
"134"	"v2023593"	0.417635975	0.502520178	0.172822432	NA	593	"Otava"	"O8 - Vol?ovka "	"20.03.2023"	NA	NA	NA	NA	NA	NA	NA	NA	0.382108104158326	0.459771293689162	0.158120602152512
"135"	"v2023594"	0.964188775	0.643877392	0.23437407	NA	594	"Otava"	"O9 - Otava nad Vol?ovkou"	"20.03.2023"	NA	NA	NA	NA	NA	NA	NA	NA	0.5233216012314	0.349469892737693	0.127208506030907
"136"	"v2023595"	0.568448095	0.49081675	0.164299532	NA	595	"Otava"	"O10 - Losenice "	"20.03.2023"	NA	NA	NA	NA	NA	NA	NA	NA	0.464583724146784	0.40113684185822	0.134279433994996
"137"	"v2023596"	1.211360542	0.783768652	0.179980351	NA	596	"Otava"	"O11 - Hamersk? potok "	"20.03.2023"	NA	NA	NA	NA	NA	NA	NA	NA	0.556919326102263	0.360335254746905	0.0827454191508318
"138"	"v2023597"	1.580426315	0.954650907	0.203738936	NA	597	"Otava"	"O12 - Vydra "	"20.03.2023"	NA	NA	NA	NA	NA	NA	NA	NA	0.577047243709156	0.348563339752284	0.0743894165385598
"139"	"v2023598"	0.706906164	0.717488568	0.18129791	NA	598	"Otava"	"O13 - Voly?ka "	"20.03.2023"	NA	NA	NA	NA	NA	NA	NA	NA	0.440249986522639	0.446840540482467	0.112909472994895
"140"	"v2023599"	0.849420318	0.871567533	0.199751512	NA	599	"Otava"	"O14 - Blanice "	"20.03.2023"	NA	NA	NA	NA	NA	NA	NA	NA	0.442236117175884	0.453766684740974	0.103997198083143
